Date,Current Assets,Current Liabilities,Current Ratio
2021-09-30,$40.28B,$41.36B,0.97
2021-06-30,$35.63B,$40.08B,0.89
2021-03-31,$39.65B,$38.73B,1.02
2020-12-31,$54.59B,$39.66B,1.38
2020-09-30,$38.57B,$36.19B,1.07
2020-06-30,$37.33B,$38.89B,0.96
2020-03-31,$40.71B,$41.06B,0.99
2019-12-31,$37.47B,$44.87B,0.84
2019-09-30,$34.90B,$39.21B,0.89
2019-06-30,$33.31B,$38.21B,0.87
2019-03-31,$33.40B,$38.61B,0.87
2018-12-31,$34.64B,$37.93B,0.91
2018-09-30,$33.15B,$34.17B,0.97
2018-06-30,$30.88B,$32.33B,0.96
2018-03-31,$31.03B,$31.62B,0.98
2017-12-31,$29.91B,$33.04B,0.91
2017-09-30,$30.87B,$28.93B,1.07
2017-06-30,$28.82B,$27.76B,1.04
2017-03-31,$27.16B,$26.66B,1.02
2016-12-31,$26.40B,$30.34B,0.87
2016-09-30,$25.62B,$30.30B,0.85
2016-06-30,$20.84B,$34.41B,0.61
2016-03-31,$23.62B,$33.31B,0.71
2015-12-31,$22.36B,$35.05B,0.64
2015-09-30,$21.77B,$34.49B,0.63
2015-06-30,$21.50B,$30.65B,0.70
2015-03-31,$22.84B,$28.71B,0.80
2014-12-31,$29.50B,$27.99B,1.05
2014-09-30,$24.77B,$26.89B,0.92
2014-06-30,$22.89B,$26.49B,0.86
2014-03-31,$23.27B,$25.35B,0.92
2013-12-31,$70.99B,$27.05B,2.63
2013-09-30,$73.71B,$30.29B,2.43
2013-06-30,$21.96B,$29.19B,0.75
2013-03-31,$25.26B,$31.49B,0.80
2012-12-31,$21.24B,$26.96B,0.79
2012-09-30,$27.66B,$28.77B,0.96
2012-06-30,$27.13B,$26.35B,1.03
2012-03-31,$23.51B,$22.91B,1.03
2011-12-31,$30.94B,$30.76B,1.01
2011-09-30,$27.77B,$34.64B,0.80
2011-06-30,$22.47B,$27.37B,0.82
2011-03-31,$29.92B,$32.75B,0.91
2010-12-31,$22.35B,$30.60B,0.73
2010-09-30,$21.34B,$28.77B,0.74
2010-06-30,$21.06B,$31.83B,0.66
2010-03-31,$22.41B,$28.06B,0.80
2009-12-31,$21.75B,$29.14B,0.75
2009-09-30,$22.02B,$27.31B,0.81
2009-06-30,$21.46B,$26.37B,0.81
2009-03-31,$21.88B,$35.07B,0.62
2008-12-31,$26.08B,$25.91B,1.01
2008-09-30,$19.13B,$28.28B,0.68
2008-06-30,$18.00B,$29.90B,0.60
2008-03-31,$22.45B,$24.74B,0.91
2007-12-31,$18.70B,$24.74B,0.76
2007-09-30,$17.04B,$24.16B,0.71
2007-06-30,$17.03B,$24.45B,0.70
2007-03-31,$17.89B,$27.91B,0.64
2006-12-31,$22.54B,$32.28B,0.70
2006-09-30,$21.62B,$35.31B,0.61
2006-06-30,$21.28B,$34.34B,0.62
2006-03-31,$18.63B,$30.91B,0.60
2005-12-31,$19.32B,$26.70B,0.72
2005-09-30,$15.27B,$23.64B,0.65
2005-06-30,$16.67B,$27.44B,0.61
2005-03-31,$17.01B,$23.16B,0.74
